Artist,Spotify
John Coltrane,1971686
Los Lobos,764613
Eric B. & Rakim,796112
Faith No More,1831877
Joe Cocker,2701556
The Smiths,3464996
De La Soul,444483
Warren Zevon,709881
Peter Tosh,883017
The Guess Who,1430617
Pixies,3242438
Harry Nilsson,1302110
The Dead Kennedys,552388
Thin Lizzy,2305483
Connie Francis,500588
Procol Harum,695406
Kate Bush,1234395
King Crimson,248705
The Flaming Lips,1177383
The Chantels,103956
Tommy James & the Shondells,729393
Toots & the Maytals,1122290
X,198828
XTC,568177
The Buzzcocks,590107
The J.B.'s,577448
The Clovers,237105
The Specials,725201
The Sir Douglas Quintet,47988
The Jam,1205568
The Shangri-Las,222198
The Runaways,754756
T. Rex,1634146
The Replacements,466368
The Meters,659501
The Marvelettes,1161133
The Jesus and Mary Chain,818076
Television,447912
Afrika Bambaataa,168417
Suicide,200030
Stone Roses,1340170
Guitar Slim,9568
Gram Parsons,299165
Fugazi,475638
Esther Phillips,141716
Dick Dale,500805
Chuck Willis,41535
Chubby Checker,643605
Captain Beefheart,272334
Can,327196
Brian Eno,1466336
Black Flag,270412
Billy Ward and his Dominoes,39796
Big Star,344600
Big Mama Thornton,101223
Ben E. King,4024890
Bauhaus,372276
Bad Brains,194132
Jan & Dean,131436
Joe Tex,103399
Johnny Ace,27122
New York Dolls,170630
Sparks,217511
Sonic Youth,996433
Siouxsie & the Banshees,803291
Silver Apples,40988
Screamin' Jay Hawkins,307235
Scott Walker,320522
Nick Cave,1826527
My Bloody Valentine,310457
Johnny Burnette,237047
Motorhead,2346688
Massive Attack,2183585
Mary Wells,893340
Love,482495
Link Wray,271176
Junior Walker & the All-Stars,1043482
Joy Division,2212439
Nick Drake,1053173
Husker Du,215462
A Tribe Called Quest,2819776
Pavement,974515
Def Leppard,3415682
Janet Jackson,4248668
LL Cool J,2009491
Stevie Nicks,1980117
Rage Against the Machine,4945499
The Cure,5962466
Radiohead,8304956
Rufus featuring Chaka Khan,7806261
Devo,1096660
Roxy Music,1181065
John Prine,916496
Todd Rundgren,741455
Kraftwerk,632119
MC5,158341
The Zombies,1418069
Drake,49250750
Calvin Harris,42001546
Kanye West,38982857
Imagine Dragons,38776996
Ed Sheeran,38515476
Maroon 5,38295819
Eminem,37005375
Ariana Grande,32914730
The Chainsmokers,33194973
Bruno Mars,32374113
Nicki Minaj,31614136
Rihanna,29844278
Cardi B,27980698
Lil Wayne,28914305
Justin Bieber,26991314
Justin Timberlake,18876839
Beyonce,25342254
Coldplay,26840941
Kendrick Lamar,25049809
The Weeknd,24771994
DJ Khaled,23355145
Lady Gaga,25608153
Taylor Swift,21574771
Twenty-One Pilots,17229601
Adele,18457272
