Artist,Year Inducted,Years Waited,# of Years Nominated
Def Leppard,,13,1
Devo,,15,1
Janet Jackson,,11,3
John Prine,,22,1
Kraftwerk,,23,5
LL Cool J,,9,5
MC5,,27,4
Radiohead,,1,2
Rage Against the Machine,,1,2
Roxy Music,,21,1
Rufus featuring Chaka Khan,,19,3
Stevie Nicks,,12,1
The Cure,,14,2
The Zombies,,29,4
Todd Rundgren,,23,1
