Artist,Year Inducted,Years Waited,# of Years Nominated
Weezer,,1,0
Daft Punk,,1,0
Oasis,,1,0
Marilyn Manson,,1,0
Korn,,1,0
Bush,,1,0
Elliott Smith,,1,0
Sleater-Kinney,,1,0
Jay-Z,,0,0
Backstreet Boys,,0,0
The Chemical Brothers,,0,0
Foo Fighters,,0,0
D'Angelo,,0,0
Garbage,,0,0
Wilco,,0,0
Gov't Mule,,0,0
