Artist,Year Inducted,Years Waited,# of Years Nominated,Inducted By
Ramones,2002,0,1,Eddie Vedder
Talking Heads,2002,0,1,Anthony Kiedis
Tom Petty & the Heartbreakers,2002,0,1,Jakob Dylan
Jim Stewart,2002,*,*,Sam Moore and Steve Cropper
James Burton,2001,*,*,Keith Richards
Johnnie Johnson,2001,*,*,Keith Richards
Aerosmith,2001,2,2,Kid Rock
The Flamingos,2001,15,5,Frankie Valli
Michael Jackson,2001,3,1,N Sync
Paul Simon,2001,10,1,Marc Anthony
Queen,2001,2,2,Dave Grohl and Taylor Hawkins
Ritchie Valens,2001,15,3,Ricky Martin
Solomon Burke,2001,15,10,Mary J. Blige
Steely Dan,2001,3,3,Moby
Chris Blackwell,2001,*,*,Bono
Earl Palmer,2000,*,*,Mike Leiber and Jerry Stoller
Hal Blaine,2000,*,*,Mike Leiber and Jerry Stoller
James Jamerson,2000,*,*,Mike Leiber and Jerry Stoller
King Curtis,2000,*,*,Mike Leiber and Jerry Stoller
Scotty Moore,2000,*,*,Mike Leiber and Jerry Stoller
Bonnie Raitt,2000,3,1,Melissa Etheridge
"Earth, Wind & Fire",2000,4,2,Lil Kim
Eric Clapton,2000,4,1,Robbie Robertson
James Taylor,2000,6,1,Paul McCartney
Lovin' Spoonful,2000,9,1,John Mellencamp
The Moonglows,2000,14,6,Paul Simon
Clive Davis,2000,*,*,Patti Smith
Billie Holiday,2000,*,*,Diana Ross
"Nat ""King"" Cole",2000,*,*,Ray Charles
Billy Joel,1999,2,2,Ray Charles
Bruce Springsteen,1999,0,1,Bono
Curtis Mayfield,1999,3,1,Puff Daddy
Del Shannon,1999,13,7,Art Alexakis
Dusty Springfield,1999,9,2,Elton John
Paul McCartney,1999,6,1,Neil Young
The Staple Singers,1999,13,1,Lauryn Hill
George Martin,1999,*,*,Jimmy Iovine
Bob Wills and His Texas Playboys,1999,*,*,Chris Isaak
Charles Brown,1999,*,*,Bonnie Raitt
The Eagles,1998,0,1,Jimmy Buffett
Fleetwood Mac,1998,4,1,Sheryl Crow
Gene Vincent,1998,12,7,John Fogerty
Lloyd Price,1998,12,7,Tony Rich
The Mamas and the Papas,1998,6,2,Shania Twain
Santana,1998,3,1,John Popper
Allen Toussaint,1998,*,*,Robbie Robertson
Jelly Roll Morton,1998,*,*,Ahmet Ertegun
The Bee Gees,1997,6,2,Brian Wilson
Buffalo Springfield,1997,4,4,Tom Petty
"Crosby, Stills and Nash",1997,2,1,James Taylor
The Jackson Five,1997,3,4,Diana Ross
Joni Mitchell,1997,3,3,Shawn Colvin
Parliament-Funkadelic,1997,1,2,Prince
The (Young) Rascals,1997,5,4,Steve Van Zandt
Syd Nathan,1997,*,*,Seymour Stein
Bill Monroe,1997,*,*,Ricky Skaggs and Emmylou Harris
Mahalia Jackson,1997,*,*,Mavis Staples
David Bowie,1996,4,2,Madonna and David Byrne
Gladys Knight and the Pips,1996,10,5,Mariah Carey
Jefferson Airplane,1996,4,2,Mickey Hart and Phil Lesh
Little Willie John,1996,10,8,Stevie Wonder
Pink Floyd,1996,3,2,Billy Corgan
The Shirelles,1996,9,3,"Darlene Love, Merry Clayton and Marianne Faithfull"
The Velvet Underground,1996,4,5,Patti Smith
Tom Donahue,1996,*,*,Bob Krasnow
Pete Seeger,1996,*,*,Arlo Guthrie and Harry Belafonte
Al Green,1995,2,1,Natalie Cole
The Allman Brothers Band,1995,0,1,Willie Nelson
Frank Zappa,1995,3,3,Lou Reed
Janis Joplin,1995,0,1,Melissa Etheridge
Led Zeppelin,1995,0,1,Steven Tyler and Joe Perry
Martha and the Vandellas,1995,6,3,Fred Schneider and Kate Pierson
Neil Young,1995,0,1,Eddie Vedder
Paul Ackerman,1995,*,*,Ahmet Ertegun
The Orioles,1995,*,*,Deborah Chessler and Seymour Stein
The Animals,1994,4,3,Dave Pirner
The Band,1994,0,1,Eric Clapton
Bob Marley,1994,3,2,Bono
Duane Eddy,1994,8,8,Mick Jones
Elton John,1994,0,1,Axl Rose
The Grateful Dead,1994,1,2,Bruce Hornsby
John Lennon,1994,0,1,Paul McCartney
Rod Stewart,1994,4,2,Jeff Beck
Johnny Otis,1994,*,*,Etta James
Willie Dixon,1994,*,*,Chuck Berry
Cream,1993,1,2,ZZ Top
Creedence Clearwater Revival,1993,0,1,Bruce Springsteen
The Doors,1993,0,1,Eddie Vedder
Etta James,1993,7,2,k.d. lang
Frankie Lymon and the Teenagers,1993,7,8,Boyz II Men
Ruth Brown,1993,7,6,Bonnie Raitt
Sly and the Family Stone,1993,0,1,George Clinton
Van Morrison,1993,0,1,Robbie Robertson
Dick Clark,1993,*,*,Dion
Milt Gabler,1993,*,*,Billy Crystal
Dinah Washington,1993,*,*,Natalie Cole
"Bobby ""Blue"" Bland",1992,6,6,B.B. King
Booker T. and the M.G.'s,1992,4,3,Jim Stewart
The Isley Brothers,1992,6,1,Little Richard
The Jimi Hendrix Experience,1992,0,1,Neil Young
Johnny Cash,1992,6,3,Lyle Lovett
Sam & Dave,1992,0,1,Billy Joel
The Yardbirds,1992,2,3,The Edge
Bill Graham,1992,*,*,Carlos Santana
Doc Pomus,1992,*,*,Phil Spector
Leo Fender,1992,*,*,Keith Richards
Elmore James,1992,*,*,Robbie Robertson
Professor Longhair,1992,*,*,Aaron Neville
The Byrds,1991,0,1,Don Henley
Ike and Tina Turner,1991,5,5,Phil Spector
The Impressions,1991,2,3,Tracy Chapman
Jimmy Reed,1991,5,6,ZZ Top
John Lee Hooker,1991,5,1,Bonnie Raitt
LaVern Baker,1991,5,6,Chaka Khan
Wilson Pickett,1991,2,3,Bobby Brown
Dave Bartholomew,1991,*,*,The Neville Brothers
Ralph Bass,1991,*,*,Hank Ballard
Nesuhi Ertegun,1991,*,*,Quincy Jones
Howlin' Wolf,1991,*,*,Robert Cray
Bobby Darin,1990,4,5,Paul Anka
The Four Seasons,1990,2,3,Bob Crewe
The Four Tops,1990,4,2,Stevie Wonder
Hank Ballard,1990,4,5,Boz Scaggs
The Kinks,1990,0,1,Graham Nash
The Platters,1990,4,3,Phil Spector
Simon and Garfunkel,1990,0,1,James Taylor
The Who,1990,0,1,U2
Gerry Goffin and Carole King,1990,*,*,Ben E. King
"Holland, Dozier and Holland",1990,*,*,Diana Ross
Charlie Christian,1990,*,*,Vernon Reid
Louis Armstrong,1990,*,*,Rickie Lee Jones
Ma Rainey,1990,*,*,Bonnie Raitt
Dion,1989,3,3,Lou Reed
Otis Redding,1989,2,1,Little Richard
The Rolling Stones,1989,0,1,Pete Townshend
Stevie Wonder,1989,1,1,Paul Simon
The Temptations,1989,2,1,Daryl Hall and John Oates
Phil Spector,1989,*,*,Tina Turner
Bessie Smith,1989,*,*,Anita Baker
