Artist,Year Inducted,Years Waited,# of Years Nominated
Weezer,,0,0
Daft Punk,,0,0
Oasis,,0,0
Marilyn Manson,,0,0
Korn,,0,0
Bush,,0,0
Elliott Smith,,0,0
Sleater-Kinney,,0,0
Notorious B.I.G.,,0,0
Portishead,,0,0
