Artist,Year Inducted,Years Waited,# of Years Nominated
Jay-Z,,0,0
Backstreet Boys,,0,0
The Chemical Brothers,,0,0
Foo Fighters,,0,0
D'Angelo,,0,0
Garbage,,0,0
Wilco,,0,0
Gov't Mule,,0,0
Air,,0,0
Ben Folds Five,,0,0
