Row Labels,Top 100 Singles,Highest Position
DeCastro Sisters,6,17
Cathy Dennis,6,2
D'Angelo,6,10
Brothers Johnson,6,3
Chairman of the Board,6,3
DeBarge,6,3
Brenda Holloway,6,13
Beau Brummels,6,8
Angels,6,1
Blink 182,6,6
Beenie Man,6,26
Bonnie Tyler,6,1
Bell Biv DeVoe,6,3
Blackbyrds,6,6
Belmonts,6,18
Andy Griggs,6,28
2 Chainz,6,24
Animotion,6,6
B.T. Express,6,2
Addrisi Brothers,6,20
B2K,6,1
Badfinger,6,4
All-American Rejects,6,4
Blessid Union of Souls,6,33
Ashford & Simpson,6,12
Al B. Sure,6,7
Big Sean,6,10
Art Mooney,6,6
Aaron Neville,6,2
Bobby Day & The Satellites,6,2
Billy J. Kramer & The Dakotas,6,7
Asia,6,4
Baby Washington,6,40
Bad English,6,1
Billy Ray Cyrus,6,4
Archies,6,1
Breaking Benjamin,6,40
Birdman,6,26
Black Crowes,6,26
Waylon Jennings,11,21
Travis Wammack,5,38
Wild Cherry,5,1
Time,5,9
Wanda Jackson,5,27
Tesla,5,8
Weezer,5,10
Sweet Inspirations,5,18
Travis Tritt,5,27
Third Eye Blind,5,4
Til Tuesday,5,8
Technotronic,5,2
Tracy Lawrence,5,40
Tom T. Hall,5,12
Trammps,5,11
System of A Down,5,27
White Lion,5,3
Taio Cruz,5,1
Will to Power,5,1
Terence Trent D'Arby,5,1
William Bell,5,10
Village People,5,2
Zhane,5,6
Tamia,5,10
Tracy Chapman,5,3
Strawberry Alarm Clock,5,1
Stray Cats,5,3
The Zombies,5,2
Starbuck,5,3
Shaun Cassidy,5,1
Shadows of Knight,5,10
Ray J,5,11
Spencer Davis Group,5,7
R.B. Greaves,5,2
Ritchie Valens,5,2
Ronny & The Daytonas,5,4
Ramsey Lewis Trio,5,5
Real McCoy,5,3
Skyliners,5,12
Redman,5,42
Spin Doctors,5,7
S.O.S. Band,5,3
Seduction,5,2
Sa-Fire,5,12
Shabba Ranks,5,33
Salsoul Orchestra,5,18
Queen Latifah,5,23
Raindrops,5,17
Shanice,5,2
Sam Neely,5,29
Shirley & Lee,5,20
Ray Conniff Singers,5,9
Randy Travis,5,31
Sandy Posey,5,12
Rip Chords,5,4
Scandal,5,7
Stacy Lattisaw,5,21
Scarface,5,12
Script,5,12
Selena Gomez,5,6
Poppy Family,5,2
New Boyz,5,22
Perez Prado & His Orchestra,5,1
Ozark Mountain Daredevils,5,3
Plain White T's,5,1
Michael Damian,5,1
Pozo-Seco Singers,5,32
Merle Haggard & The Strangers,5,41
Omarion,5,12
Missing Persons,5,42
Pink Floyd,5,1
Paris Sisters,5,5
Orleans,5,5
Parliament,5,15
Maxi Priest,5,1
Party,5,34
Prism,5,39
Mr. Big,5,1
Mobb Deep,5,58
Mr. Mister,5,1
Miguel,5,17
Musiq,5,16
Orchestral Manoeuvres In The Dark,5,4
Paul & Paula,5,1
Mike Jones,5,22
Merry Clayton,5,45
Originals,5,12
Michael McDonald,5,4
Milli Vanilli,5,1
Peabo Bryson,5,10
Michael W. Smith,5,6
Pebbles,5,2
Martika,5,1
Katrina & The Waves,5,9
Love Unlimited Orchestra,5,1
Lighthouse,5,24
Maroon5,5,1
Korn,5,38
Kendrick Lamar,5,17
King Curtis,5,33
Kim Wilde,5,1
Kris Kristofferson,5,16
Jude Cole,5,16
Little Peggy March,5,1
Kid Rock,5,4
Kings of Leon,5,4
Kellie Pickler,5,46
Livingston Taylor,5,30
Lee Brice,5,27
Leona Lewis,5,1
Mase,5,5
Marc Anthony,5,2
Marianne Faithfull,5,22
Klymaxx,5,5
Jeannie C. Riley,5,1
Iron Butterfly,5,30
Information Society,5,3
Hunter Hayes,5,16
Johnny Burnette,5,8
Ides of March,5,2
India.Arie,5,47
Henry Mancini, His Orchestra & Chorus,5
Greg Kihn Band,5,2
Gretchen Wilson,5,22
Hues Corporation,5,1
Jim Lowe,5,1
Joe Jackson,6,6
Janis Joplin,8,1
James Blunt,5,1
Golden Earring,5,10
Harry Simeone Chorale,5,13
Jay Sean,5,1
Inner Circle,5,8
Incubus,5,9
Jennifer Hudson,5,24
Independents,5,21
John Parr,5,1
Highwaymen,5,1
Heavy D & The Boyz,5,11
Hilary Duff,5,24
Henry Lee Summer,5,18
Harpers Bizarre,5,13
Jim Capaldi,5,28
Johnny Preston,5,1
Disturbed,5,58
Gene Vincent,5,7
Dicky Doo & The Don'ts,5,28
Fantastic Four,5,55
George McCrae,5,1
Foundations,5,3
Gary Puckett & The Union Gap,5,2
Gin Blossoms,5,9
Dixie Cups,5,1
Ernie Freeman,5,4
Enya,5,10
Esther Phillips,7,8
Dream Weavers,5,7
Frankie Ford,5,14
Garnet Mimms & The Enchanters,5,4
Europe,5,3
Evanescence,5,5
Freddie & The Dreamers,5,1
First Choice,5,28
Elvin Bishop,5,3
Don Cherry,5,22
Easton Corbin,5,42
Five Man Electrical Band,5,3
Fun Factory,5,88
George Maharis,5,25
Fergie,5,1
Evelyn 'Champagne' King,5,9
Emerson, Lake & Palmer,5
Eddie Holman,5,2
Gap Band,5,24
Dodie Stevens,5,3
Donnie Elbert,5,15
Ernie K-Doe,5,1
Escape Club,5,1
Connie Stevens,5,3
Damn Yankees,5,3
Crosby, Stills, Nash & Young
Cameo,5,6
David Cassidy,5,9
Canned Heat,5,11
Cream,5,5
Carl Perkins,5,2
Cryan' Shames,5,49
Cascades,5,3
Burton Cummings,5,10
Cassadee Pope,5,25
Dead Or Alive,5,11
Chambers Brothers,5,11
Cornelius Brothers & Sister Rose,5,2
Changing Faces,5,3
Crickets,5,1
Chet Atkins,5,49
Crowded House,5,2
Bruce Channel,5,1
Buffalo Springfield,5,7
Chuck Jackson & Maxine Brown,5,55
Dan Hill,5,3
Chuck Mangione,5,4
David Archuleta,5,2
Chuck Willis,5,9
David Rose & His Orchestra,5,1
Classics IV,5,2
Cleftones,5,18
Buck Owens,5,25
Adam Ant,5,12
Bill Medley,5,43
Breathe,5,2
Ben Colder,5,58
B.o.B,5,11
Bloodstone,5,10
Annette & The Afterbeats,5,11
Bo Diddley,5,20
Arrested Development,5,6
All-4-One,5,1
Alvin Cash,5,14
Ace Cannon,5,17
Bill Anderson,5,8
Bob Welch,5,8
Annette,5,7
Bobbettes,5,6
Annie Lennox,5,14
Bobbi Martin,5,13
Bill Cosby,5,4
Ariana Grande,5,9
Boys Like Girls,5,18
Ashley Tisdale,5,58
BLACKstreet,5,1
American Breed,5,5
Aly & AJ,5,17
Al Stewart,5,7
Bettye Swann,5,21
Bill Deal & The Rhondels,5,23
Sugar Ray,4,3
Vibrations,4,25
Young M.C.,4,7
Tommy Boyce & Bobby Hart,4,8
Talk Talk,4,31
Tommy Shaw,4,33
Toad The Wet Sprocket,4,15
Stonewall Jackson,4,4
Taste of Honey,4,1
Tony Carey,4,22
Viscounts,4,39
Tony Joe White,4,8
Walter Egan,4,8
Tony Orlando,4,15
Sybil,4,20
Tony Terry,4,14
Wynonna,4,70
Strangeloves,4,11
Youngbloods,4,5
Toys,4,2
Vaughn Monroe,4,11
Ten Years After,4,40
Vince Gill,4,52
Tremeloes,4,11
Vixen,4,22
Tribe Called Quest,4,47
Walter Brennan,4,5
Troggs,4,1
Wanted,4,3
Surfaris,4,2
Tim Moore,4,58
Swing Out Sister,4,6
Timmy T,4,1
Thelma Houston,4,1
Wonder Who?,4,12
Tyler Collins,4,6
Xzibit,4,50
Them,4,24
Young Money,4,2
Uncle Kracker,4,5
Yung Joc,4,3
Uriah Heep,4,39
Steve Allen,4,35
Various Artists,4,22
Thompson Square,4,32
Sophie B. Hawkins,4,5
Rickie Lee Jones,4,4
R. Dean Taylor,4,5
Run DMC,5,4
Slaughter,4,19
Reflections,4,6
Roy Head,4,39
Regina Belle,4,43
Shirley Bassey,4,8
Rembrandts,4,14
Skid Row,4,4
R. Kelly & The Public Announcement,4,31
Snow Patrol,4,5
Ral Donner,4,4
Spandau Ballet,4,4
Rays,4,3
Spyro Gyra,4,24
Sammy Turner,4,3
Randy Houser,4,24
Sandpipers,4,9
Question Mark & The Mysterians,4,1
Starland Vocal Band,4,1
The Sir Douglas Quintet,4,13
Romantics,4,3
Skrillex,4,69
Seeds,4,36
Smithereens,4,37
Seekers,4,2
Somethin' Smith & The Redheads,4,7
Radiants,4,51
Soul II Soul,4,4
Richard Harris,4,2
Ray Anthony,4,8
Shannon,4,8
Spirit,4,25
Sheb Wooley,4,1
Stacey Q,4,3
Sheila E.,4,7
Shelley Fabares,4,1
Standells,4,11
Nancy Sinatra & Lee Hazlewood,4,14
Ozzy Osbourne,5,8
Nicolette Larson,4,8
Patti Austin,4,55
Ocean,4,2
Michael Johnson,4,12
Michael Murphey,4,3
Missy Elliott,4,3
Neneh Cherry,4,3
Nia Peeples,4,12
Oak Ridge Boys,4,5
Miami Sound Machine,4,5
Michael Morales,4,15
Patty Duke,4,8
MFSB,4,1
Nivea,4,8
Next,4,1
Outlaws,4,31
Petey Pablo,4,7
Patty Smyth,4,33
Onyx,4,4
Mickey Gilley,4,22
Phoebe Snow,4,5
Persuaders,4,15
Naked Eyes,4,8
Outsiders,4,5
Pixies Three,4,40
Pete Townshend,4,9
Mike Post,4,10
Molly Hatchet,4,42
Paul Wall,4,35
Nu Flavor,4,27
Oscar Toney Jr.,4,23
Mr. Acker Bilk,4,1
Monifah,4,9
Method Man,4,45
Maze,4,67
Mongo Santamaria,4,32
No Mercy,4,5
Nelson,4,1
Nick Noble,4,20
Peggy King,4,30
MC Lyte,4,10
Mitch Ryder,4,41
Psychedelic Furs,4,26
Peggy Scott & Jo Jo Benson,4,27
Maxine Nightingale,4,2
Miranda Cosgrove,4,47
Oliver,4,2
Nirvana,4,6
Mark Dinning,4,1
Linda Clifford,4,41
June Valli,4,29
Keri Hilson,4,3
Margaret Whiting,4,20
Ketty Lester,4,5
Le Click,4,35
Level 42,4,7
Kenny Nolan,4,3
Kathy Linden,4,7
Larry Williams,4,5
Lloyd Banks,4,8
Marilyn McCoo & Billy Davis Jr.,4,1
JoJo,4,3
Mar-Keys,4,3
Lighter Shade of Brown,4,39
Kalin Twins,4,5
Kitty Kallen,4,18
Keith,4,7
Lonnie Mack,4,5
Little Eva,4,1
Lords of The Underground,4,55
Linda Jones,4,21
K7,4,18
Marcels,4,1
Lou Gramm,4,5
Kiki Dee,4,12
Lou Monte,4,5
Josh Gracin,4,39
Love Unlimited,4,14
Marketts,4,3
Lil Jon & The East Side Boyz,4,2
Marky Mark & The Funky Bunch,4,1
Luke,4,20
Kim Weston,4,50
Lil Suzy,4,62
Mason Williams,4,2
Karla Bonoff,4,19
Macklemore & Ryan Lewis,4,1
Jack Wagner,4,2
Johnny Desmond,4,3
Hudson Brothers,4,21
Janice Harper,4,46
House of Pain,4,3
Jason Michael Carroll,4,52
Hugh Masekela,4,1
Javier Colon,4,17
John Travolta,4,10
Gorilla Zoe,4,38
Hesitations,4,38
Jay & The Techniques,4,6
Jimmy Jones,4,2
Howard Tate,4,63
Jo Ann Campbell,4,38
Jazmine Sullivan,4,31
Grassroots,4,15
Irma Thomas,4,17
John Schneider,4,14
Jellybean,4,16
Goodie Mob,4,50
Jennifer Holliday,4,22
Jimmy Bowen,4,14
Ivory Joe Hunter,4,12
Jana Kramer,4,50
Johnny Otis,4,9
Jimmy Hughes,4,17
Jermaine Stewart,4,5
Jimmy McCracklin,4,64
Jerrod Niemann,4,29
Jive Five,4,3
Jerry Fuller,4,63
Imagine Dragons,4,3
Jerry Lee Lewis & His Pumping Piano,4,30
Guy,4,19
Henry Gross,4,6
John D. Loudermilk,4,32
J.J. Cale,4,22
Honeymoon Suite,4,34
Jigsaw,4,3
John Stewart,4,5
Grace Jones,4,69
James Gang,4,51
Graham Central Station,4,38
Jamie O'Neal,4,35
The Jimi Hendrix Experience,7,20
Jack Ingram,4,63
Hotel,4,54
George LaMond,4,25
Fanny,4,29
Elisa Fiorillo,4,27
Fabulous Thunderbirds,4,10
Disco Tex & The Sex-O-Lettes,4,10
Duane Eddy & His Twangy Guitar & The Rebels,4,18
Don Covay,4,29
ELO,4,10
Fontella Bass,4,4
Dorothy Collins,4,16
Frank Ifield,4,5
Eddie Hodges,4,12
Dyke & The Blazers,4,35
Freddy King,4,29
Fantastic Johnny C,4,7
Five Star,4,41
Frankie Goes to Hollywood,4,10
Fuel,4,30
Frankie Lymon and the Teenagers,5,13
Eddie Holland,4,30
Every Mother's Son,4,6
Flaming Ember,4,24
Extreme,4,1
Emerson Drive,4,34
Dirt Band,4,13
Ecstasy, Passion & Pain,4
Dr. John,4,9
Donny Hathaway,4,44
George Jones,4,73
Flock of Seagulls,4,9
Glass Tiger,4,2
Garnet Mimms,4,30
Eli Young Band,4,29
Exile,4,1
Five for Fighting,4,14
Ferlin Husky,4,4
Frankie J.,4,3
Gary Stites,4,24
Erick Sermon,4,22
Gary U.S. Bonds,4,1
Ella Fitzgerald,4,27
Edgar Winter Group,4,1
Glenn Medeiros,4,12
Elgins,4,50
Danity Kane,4,8
Crystal Waters,4,8
Case,4,4
The Clash,4,8
Damita Jo,4,12
Castells,4,20
Carl Dobkins Jr.,4,3
Claude King,4,6
Debbie Harry,4,43
Claudine Longet,4,71
Daddy Yankee,4,24
Cathy Carr,4,2
Carolyn Dawn Johnson,4,54
Debbie Reynolds,4,1
Daryl Hall,4,5
Debby Boone,4,1
Christina Milian,4,5
Denise LaSalle,4,13
Deana Carter,4,65
Deodato,4,2
Brownstone,4,8
Diana King,4,38
Cutting Crew,4,1
Con Funk Shun,4,23
Dale Hawkins,4,27
Brenton Wood,4,9
Cheryl Lynn,4,12
Change,4,40
Bunny Sigler,4,22
Cranberries,4,8
Darlene Love,4,26
Carly Rae Jepsen,4,1
Das EFX,4,25
Brotherhood of Man,4,13
Bush,4,28
Critters,4,17
Christina Perri,4,17
Charlene,4,3
Capris,4,3
Charles Wright & The Watts 103rd Street Band,4,12
C. W. McCall,4,1
Crown Heights Affair,4,42
Cassidy,4,4
Charlie,4,38
Dem Franchize Boyz,4,7
Climax Blues Band,4,3
Dennis DeYoung,4,10
Collin Raye,4,37
Diamond Rio,4,28
Commander Cody & His Lost Planet Airmen,4,9
Calvin Harris,4,10
Common,4,44
Cookies,4,7
Angelina,4,52
Brand Nubian,4,54
Bobby Womack & Peace,4,27
Assembled Multitude,4,16
Ace Hood,4,33
Big Tymers,4,11
Bobby Lewis,4,1
Allan Sherman,4,2
Anthony Newley,4,67
B.W. Stevenson,4,9
Bo Donaldson & The Heywoods,4,1
Art Garfunkel,4,18
AWB,4,1
30 Seconds to Mars,4,65
Bobby 'Boris' Pickett & The Crypt-Kickers,4,1
702,4,4
100 Proof,4,8
Aaron Tippin,4,20
Boney M,4,30
Billy & Lillie,4,9
Arbors,4,20
Billy Bland,4,7
Blues Magoos,4,5
Amber,4,24
Big Mountain,4,6
Baby Bash,4,7
Bellamy Brothers,4,1
Billy Paul,4,1
Baja Marimba Band,4,41
Barry Mann,4,7
Bobby Bloom,4,8
Billy Ward and his Dominoes,4,12
Better Than Ezra,4,48
Alarm,4,50
Bobby Valentino,4,8
Andrea True Connection,4,4
Bobby Vee & The Strangers,4,3
Avenged Sevenfold,4,51
Arthur Alexander,4,24
Andrew Gold,4,7
Bonnie Guitar,4,6
Alexander O'Neal,4,25
Bowling for Soup,4,23
Blue Oyster Cult,4,12
69 Boyz,4,8
Blue Swede,4,1
Blues Brothers,4,14
Avicii,4,4
Tex Ritter,3,20
Tammi Terrell,3,67
Stereo MC's,3,20
Stories,3,1
Sugarloaf,3,3
Tommy Leonetti,3,23
Tony Rich Project,3,41
Theory of A Deadman,3,55
Z.Z. Hill,3,62
Tommy Page,3,1
Tone Loc,3,2
T. Rex,4,10
Timmy Thomas,3,3
Unifics,3,25
Tarney-Spencer Band,3,74
Steve Holy,3,29
Yellowcard,3,37
Utopia,3,27
Yo-Yo,3,36
Valentinos,3,72
Watts 103rd Street Rhythm Band,3,11
Van Dykes,3,91
WC,3,56
Van McCoy,3,46
Stealers Wheel,3,6
Van Stephenson,3,22
White Stripes,3,26
Vanessa Carlton,3,5
Tiny Tim,3,17
Vanessa Hudgens,3,55
Sunny Gale,3,17
Thomas Dolby,3,5
Wisin & Yandel,3,85
Vanilla Ice,3,1
Yarbrough & Peoples,3,19
Vanity Fare,3,5
Yo Gotti,3,79
Tracey Dey,3,51
Steve & Eydie,3,28
Statler Brothers,3,4
Yvette Michele,3,44
Vertical Horizon,3,1
Twisted Sister,3,21
Teddy Randazzo,3,44
Waylon & Willie,3,25
Sylvester,3,19
Tony Martin,3,10
Swinging Blue Jeans,3,24
WE The Kings,3,70
Vicci Martinez,3,68
System,3,4
Vicki Lawrence,3,1
Westside Connection,3,21
Vicki Sue Robinson,3,10
String-A-Longs,3,3
Victorious Cast,3,50
Wilbert Harrison,3,1
Switch,3,36
Wild Orchid,3,48
Switchfoot,3,17
Tara Kemp,3,3
Village Stompers,3,2
Willie Hutch,3,41
Sylvia,3,3
Toby Beau,3,13
Tommy Hunt,3,48
Sunrays,3,41
Vitamin C,3,18
Trixter,3,65
Traffic,3,74
Troop,3,47
Wailers,3,36
Sunshine Company,3,36
Sylvia Syms,3,20
YG,3,19
Travis Porter,3,53
Young Buck,3,17
Syndicate of Sound,3,8
Toni Basil,3,1
Thurston Harris,3,6
Teddi King,3,18
Tierra,3,18
Turley Richards,3,54
Terry Jacks,3,1
Stevie Woods,3,25
Sugar Hill Gang,3,36
Stryper,3,23
Swon Brothers,3,66
Teddy Bears,3,1
Was Not Was,3,7
Trina,3,17
Troy Shondell,3,6
Saraya,3,63
Roxy Music,3,30
Stacy Earl,3,26
Ramones,3,66
Rappin' 4-Tay,3,36
Rainbow,3,40
Robbie Dupree,3,6
Robert Mitchum,3,62
Robert Cray Band,3,22
Saga,3,26
Robert Knight,3,13
Ric Ocasek,3,15
Sonny Knight,3,17
Romeo Santos,3,79
Soup Dragons,3,35
Richard 'Groove' Holmes,3,44
Rolf Harris,3,3
Ruben Studdard,3,2
Scritti Politti,3,11
Shades of Blue,3,12
Rockets,3,30
Radiohead,3,34
Randy Vanwarmer,3,4
Robert Goulet,3,16
Starpoint,3,25
Ready for the World,3,1
Ralph Marterie & His Orchestra,3,10
Ray Parker Jr. & Raydio,3,4
Soul Asylum,3,5
Rooftop Singers,3,1
Soul Survivors,3,4
Ray, Goodman & Brown,3
Restless Heart,3,11
Shaquille O'Neal,3,35
Roy Head & The Traits,3,2
The Roots,3,34
Squeeze,3,15
Robin S,3,5
Roman Holliday,3,54
Ruby Andrews,3,51
Rythm Syndicate,3,2
Rene & Angela,3,47
Quiet Riot,3,5
Ritchie Family,3,11
Slave,3,32
Royal Teens,3,3
Smash Mouth,3,4
Samantha Sang,3,3
Smith,3,5
Real Life,3,26
Snap,3,2
Stars on 45,3,1
Solo,3,50
Rick Nelson & The Stone Canyon Band,3,6
Somethin' for the People,3,4
Shocking Blue,3,1
Sonny James 'The Southern Gentleman',3,87
Shooting Star,3,67
Ralph Tresvant,3,4
Shorty Long,3,8
Soul Children,3,36
Sil Austin,3,17
Soul Sisters,3,46
Randy Meisner,3,19
Riff,3,25
Silver Convention,3,1
South Shore Commission,3,61
Rufus & Chaka Khan,3,22
Savoy Brown,3,68
Ryan Cabrera,3,15
Spider,3,39
Quicksilver Messenger Service,3,49
Spiral Starecase,3,12
Sandie Shaw,3,42
Rhythm Heritage,3,1
Sir Mix-A-Lot,3,1
Scotty McCreery,3,11
Sisqo,3,1
Redbone,3,5
Sixpence None The Richer,3,2
Stampeders,3,8
Sandpebbles,3,22
Skip & Flip,3,11
Rick Derringer,3,23
RTZ,3,26
Queen Pen,3,28
Sara Bareilles,3,4
Sammy Johns,3,5
Mindy Carson,3,13
Patrice Rushen,3,23
P.J. Proby,3,23
Mitty Collier,3,41
Mike Posner,3,6
Modern English,3,76
Prince & The New Power Generation,3,7
Mojo Men,3,36
Midnight Oil,3,17
Monie Love,3,26
Mika,3,57
The Moonglows,3,20
Mel & Tim,3,10
Matthews' Southern Comfort,3,23
Pilot,3,5
Mott the Hoople,3,37
O-Town,3,3
Men Without Hats,3,3
Pajama Party,3,59
Murray Head,3,3
Patience & Prudence,3,4
Muse,3,37
Patti LaBelle & The Blue Belles,3,37
Mystikal,3,13
Mike Clifford,3,12
Nappy Brown,3,25
Paulina Rubio,3,41
Nappy Roots,3,21
Max-A-Million,3,0
Narvel Felts,3,62
Pharrell,3,5
Natalie Merchant,3,23
Power Station,3,6
NB Ridaz,3,84
Otis Williams & His Charms,3,11
Neal McCoy,3,75
P. Diddy,3,2
Neil Young & Crazy Horse,3,55
P.O.D.,3,28
Nelson Riddle & His Orchestra,3,1
Paper Lace,3,1
New York City,3,17
Pat Green,3,39
Nick Gilder,3,1
Patra,3,53
Nigel Olsson,3,18
Patti Drew,3,62
Matthew Wilder,3,5
Patty Loveless,3,71
Maurice Williams & The Zodiacs,3,1
Meek Mill,3,51
Norman Greenbaum,3,3
Paul Evans,3,10
Nu Shooz,3,3
Paula DeAnda,3,18
Nuttin' Nyce,3,83
People's Choice,3,11
O.V. Wright,3,54
Peter Brown,3,18
Michael Nesmith & The First National Band,3,21
Mims,3,1
Procol Harum,3,5
Pharcyde,3,52
Public Announcement,3,5
Phillip Phillips,3,6
Ol' Dirty Bastard,3,33
Poni-Tails,3,7
Michel'le,3,7
Pretty Ricky,3,7
Otis & Carla,3,26
Mitchell Torok,3,25
Oasis,3,8
KLF,3,5
Lorde,3,1
Mary Mary,3,28
Left Banke,3,5
Los Lobos,3,1
Louis Prima & Keely Smith,3,18
Lee Andrews & The Hearts,3,20
Love,3,33
Little Stevie Wonder,3,1
Levert,3,5
Los Bravos,3,4
Matt Nathanson,3,53
Karmin,3,16
K'Naan,3,82
Marty Balin,3,8
Little Junior Parker,3,51
Leroy Van Dyke,3,5
Lowell Fulsom,3,52
Masta Ace Incorporated,3,23
Lox,3,17
Margie Joseph,3,69
Knickerbockers,3,20
Katharine McPhee,3,12
Juanes,3,69
Lindsey Buckingham,3,9
Matt Monro,3,18
Marmalade,3,10
Lil' Mo,3,11
LaVern Baker & The Gliders,3,14
Kate Bush,4,30
Martin Denny,3,4
King Floyd,3,6
LeBlanc & Carr,3,13
Kip Moore,3,29
Marvin Rainwater,3,18
Lily Allen,3,49
Mary Jane Girls,3,7
KRS-One,3,70
Lou Johnson,3,49
Little Johnny Taylor,3,19
Mat Kearney,3,41
Kirk Franklin,3,61
Little Texas,3,55
La Bouche,3,13
Keith Murray,3,50
Mack 10,3,37
Marie Osmond,3,5
Juicy J,3,29
Loretta Lynn,4,56
Mad Lads,3,74
Lauryn Hill,3,1
Madness,3,7
Los Del Rio,3,23
Keith Anderson,3,48
Live,3,43
Magic Lanterns,3,29
Linear,3,5
Keith Hampshire,3,51
Joshua Kadison,3,19
Major Harris,3,5
Kelis,3,3
Lamont Dozier,3,15
Livin' Joy,3,67
Majors,3,22
Le Roux,3,18
Mama Cass,3,30
Lisa Loeb & Nine Stories,3,1
Mama Cass Elliot,3,36
J'Son,3,62
Lana Del Ray,3,6
Kelly Price,3,12
Mandrill,3,52
Mary Chapin Carpenter,3,57
Londonbeat,3,1
Lisette Melendez,3,35
Lone Justice,3,47
Lita Ford,3,12
Larry Graham,3,9
Lee DeWyze,3,24
Jud Strunk,3,14
Living Colour,3,13
Mantovani & His Orchestra,3,12
Kenny Ball & His Jazzmen,3,2
Lemon Pipers,3,1
Lee Greenwood,3,16
Marc Cohn,3,13
Louis Armstrong,3,32
Lil Jon,3,7
Johnny Bristol,3,8
Ikettes,3,19
Jaggerz,3,2
Head East,3,46
John Paul Young,3,7
Jimi Hendrix,3,59
Jadakiss,3,11
Janie Grant,3,29
Hondells,3,9
Janis Ian,3,3
Inez Foxx,3,54
Jimmy Barnes,3,74
Jill Corey,3,11
Ian Matthews,3,13
Johnny Cymbal,3,16
Graham Nash,3,35
Hugo & Luigi,3,35
Jimmy Castor Bunch,3,6
Gloriana,3,34
Iyaz,3,2
Humble Pie,3,52
Hanson,3,1
John Lennon & Plastic Ono Band,3,3
Irish Rovers,3,7
John Miles,3,34
Jimmy Dorsey Orchestra,3,2
John Sebastian,3,1
Jimmy Eat World,3,5
J.J. Jackson,3,22
Jimmy Gilmer & The Fireballs,3,1
Hot,3,6
Groove Theory,3,64
Heather Headley,3,55
Joe Public,3,4
Jane Wiedlin,3,9
Jessi Colter,3,4
Jack Pleis & His Orchestra,3,65
Joey Dee,3,61
High Inergy,3,12
Joey Scarbury,3,2
Heatwave,3,2
J. Frank Wilson & The Cavaliers,3,2
Jimmy Wayne,3,32
Jet,3,29
Jean Knight,3,2
James Brown & His Orchestra,3,24
Huey 'Piano' Smith & The Clowns,3,9
Intrigues,3,31
Jackie Ross,3,11
Hoobastank,3,2
Gucci Mane,3,36
Hurricane Chris,3,7
Jocelyn Enriquez,3,49
J.J. Fad,3,30
GQ,3,12
Godsmack,3,73
Jeanne Black,3,4
Jill Scott,3,43
Graham Nash & David Crosby,3,36
Johnny Adams,3,28
Hinder,3,3
Hank Locklin,3,8
Hole,3,58
Greg Lake,3,48
Joe Dowell,3,1
Jim Gilstrap,3,55
Joe Henderson,3,8
Joe Hinton,3,13
Jimmy Cliff,3,18
Jane Morgan,3,21
Illusion,3,32
Jeremih,3,4
Heartbeats,3,53
Geto Boys,3,23
Donald Fagen,3,26
Frank Gari,3,23
Dion Di Muci,3,6
Georgia Satellites,3,2
Diddy,3,9
Donnie Brooks,3,7
Faith, Hope & Charity,3
Frank Mills,3,3
Elvis Costello & the Attractions,3,19
Duane Eddy & The Rebelettes,3,12
Florence + The Machine,3,21
Etta Jones,3,36
French Montana,3,36
Ellie Goulding,3,2
Filter,3,12
Enchantment,3,25
Frijid Pink,3,7
First Class,3,4
Everclear,3,11
Enigma,3,4
Eddy Grant,3,2
Five Keys,3,23
Dorothy Moore,3,3
Don Costa & His Orchestra & Chorus,3,19
Dubs,3,23
Georgie Shaw,3,23
Fuzz,3,21
Don Gardner & Dee Dee Ford,3,20
DJ Quik,3,49
Faith No More,3,9
Gallery,3,4
Giuffria,3,15
Edward Bear,3,3
Diddy-Dirty Money,3,11
Edwin McCain,3,5
Foxy Brown,3,7
Eddie Harris,3,36
General Public,3,22
Garfunkel,3,9
Genius-GZA,3,67
Firm,3,28
George Baker Selection,3,21
Dokken,3,64
Five,3,10
Dorsey Burnette,3,23
Dwight Twilley Band,3,16
Emmylou Harris,4,37
Far East Movement,3,1
Dottie West,3,49
Evie Sands,3,50
Don Rondo,3,7
Fatboy Slim,3,36
Four Esquires,3,21
Georgie Fame & The Blue Flames,3,21
Four Freshmen,3,17
Georgio,3,58
El Chicano,3,28
Gerardo,3,7
El Coco,3,44
Evelyn King,3,17
El DeBarge,3,3
Frankie Miller,3,62
Gayle McCormick,3,44
Frantics,3,83
Gaylords,3,67
Gisele MacKenzie,3,4
G-Clefs,3,9
Flash Cadillac & The Continental Kids,3,29
Gene & Debbe,3,17
Freddie Cannon,3,3
Domino,3,7
Esquires,3,11
Frank Stallone,3,10
Essex,3,1
Frank Zappa,3,32
Franke & The Knockouts,3,10
Gloria Mann,3,18
Delbert McClinton,3,8
Dale & Grace,3,1
Crash Test Dummies,3,4
Brewer & Shipley,3,10
David Houston,3,24
Cause & Effect,3,38
Cozy Cole,3,3
Chad Brock,3,22
Buffy Sainte-Marie,3,38
Chad Mitchell Trio,3,43
Dave Brubeck Quartet,3,25
Chad Stuart & Jeremy Clyde,3,7
De La Soul,4,14
Chamillionaire,3,1
Devo,3,14
Chante Moore,3,10
Craig David,3,10
Charlie Gracie,3,1
Crow,3,19
Chase,3,24
D12,3,6
Capitols,3,7
Cascada,3,10
Cherish,3,12
Buster Brown,3,38
Chevelle,3,56
David Soul,3,1
Chimes,3,11
