,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,Spotify,In_Out
69,De La Soul,0.0,7,0,26,1.5,1.0,4,14,1.0,3.69,444483,0
70,Peter Tosh,0.0,18,0,15,1.5,0.0,2,81,0.0,3.5,883017,0
71,Faith No More,0.0,10,0,23,1.5,0.0,3,9,0.0,3.93,1831877,0
72,The Smiths,0.0,12,2,193,1.5,4.0,0,0,0.0,4.25,3464996,0
73,Devo,0.0,16,1,26,1.5,1.0,3,14,0.0,3.06,1096660,0
74,Joe Cocker,0.0,25,0,7,1.5,0.0,21,5,2.0,2.96,2701556,0
75,Warren Zevon,0.0,26,0,10,1.5,0.0,2,21,1.0,3.61,709881,0
76,The Guess Who,0.0,30,0,7,1.15,0.0,21,1,0.0,2.59,1430617,0
77,Pixies,0.0,8,0,179,1.0,2.0,0,0,0.0,4.14,3242438,0
78,Harry Nilsson,0.0,28,0,21,1.0,0.0,10,1,0.0,3.66,1302110,0
79,Todd Rundgren,0.0,24,1,18,0.5,1.0,14,5,0.0,3.25,741455,0
80,Connie Francis,0.0,37,0,4,0.5,0.0,56,1,0.0,3.35,500588,0
81,Kate Bush,0.0,17,1,23,0.5,0.0,4,30,0.0,3.65,1234395,0
82,John Prine,0.0,23,1,21,0.5,1.0,0,0,0.0,3.58,916496,0
83,The Dead Kennedys,0.0,16,0,14,0.5,0.0,0,0,0.0,3.8,552388,0
84,Procol Harum,0.0,28,1,10,0.5,0.0,3,5,0.0,3.5,695406,0
85,King Crimson,0.0,26,0,59,0.5,0.0,1,80,0.0,3.79,248705,0
86,The Flaming Lips,0.0,11,0,51,0.5,0.0,1,55,0.0,3.79,1177383,0
87,Thin Lizzy,0.0,24,0,11,0.5,0.0,2,12,0.0,3.69,2305483,0
88,Stone Roses,0.0,10,0,41,0.0,1.0,0,0,0.0,4.0,1340170,0
89,XTC,0.0,18,0,48,0.0,0.0,1,72,0.0,3.83,568177,0
90,Kraftwerk,0.0,24,5,323,0.0,1.0,2,25,0.0,4.05,632119,0
91,Massive Attack,0.0,7,0,25,0.0,1.0,0,0,0.0,4.0,2183585,0
92,Gram Parsons,0.0,28,3,131,0.0,1.0,0,0,0.0,4.58,299165,0
93,Fugazi,0.0,7,0,60,0.0,0.0,0,0,0.0,4.1,475638,0
94,Sonic Youth,0.0,13,0,282,0.0,1.0,0,0,0.0,3.68,996433,0
95,My Bloody Valentine,0.0,10,0,253,0.0,1.0,0,0,0.0,3.88,310457,0
96,The Jesus and Mary Chain,0.0,11,0,52,0.0,1.0,0,0,0.0,3.79,818076,0
97,Can,0.0,27,0,192,0.0,0.0,0,0,0.0,3.5,327196,0
98,Black Flag,0.0,17,0,161,0.0,1.0,0,0,0.0,3.29,270412,0
99,The Replacements,0.0,14,1,137,0.0,2.0,1,51,0.0,4.29,466368,0
100,Nick Drake,0.0,26,0,190,0.0,1.0,0,0,0.0,4.5,1053173,0
101,The Buzzcocks,0.0,18,0,48,0.0,1.0,0,0,0.0,3.5,590107,0
102,Big Star,0.0,23,0,189,0.0,3.0,0,0,0.0,4.2,344600,0
103,Suicide,0.0,18,0,27,0.0,1.0,0,0,0.0,3.4,200030,0
104,Joy Division,0.0,17,0,187,0.0,1.0,0,0,0.0,3.8,2212439,0
105,T. Rex,0.0,27,0,149,0.0,1.0,4,10,0.0,3.73,1634146,0
106,New York Dolls,0.0,22,1,47,0.0,1.0,0,0,0.0,4.38,170630,0
107,The Jam,0.0,18,0,44,0.0,0.0,0,0,0.0,4.25,1205568,0
108,MC5,0.0,28,4,160,0.0,2.0,1,82,0.0,4.5,158341,0
109,Captain Beefheart,0.0,29,0,127,0.0,1.0,0,0,1.0,3.96,272334,0
110,Johnny Burnette,0.0,39,0,0,0.0,0.0,5,8,0.0,3.36,237047,0
111,Nick Cave,0.0,11,0,25,0.0,0.0,0,0,0.0,4.0,1826527,0
112,Johnny Ace,0.0,39,2,6,0.0,0.0,1,17,0.0,4.38,27122,0
113,Ben E. King,0.0,33,3,13,0.0,0.0,22,4,0.0,3.06,4024890,0
114,X,0.0,17,0,11,0.0,2.0,0,0,0.0,4.21,198828,0
115,Junior Walker & the All-Stars,0.0,29,0,9,0.0,0.0,1,4,0.0,3.19,1043482,0
116,Chubby Checker,0.0,34,0,8,0.0,0.0,35,1,0.0,3.15,643605,0
117,The Clovers,0.0,44,0,8,0.0,0.0,2,23,0.0,3.75,237105,0
118,Jan & Dean,0.0,35,0,7,0.0,0.0,24,1,0.0,2.72,131436,0
119,Big Mama Thornton,0.0,43,0,7,0.0,0.0,0,0,0.0,3.5,101223,0
120,Joe Tex,0.0,29,5,6,0.0,0.0,27,2,0.0,3.36,103399,0
121,Toots & the Maytals,0.0,33,0,14,0.0,1.0,0,0,0.0,3.64,1122290,0
122,The Marvelettes,0.0,34,2,5,0.0,0.0,23,1,0.0,3.0,1161133,0
123,Esther Phillips,0.0,44,2,3,0.0,0.0,7,8,0.0,3.15,141716,0
124,Billy Ward and his Dominoes,0.0,44,1,0,0.0,0.0,4,12,0.0,3.81,39796,0
125,Tommy James & the Shondells,0.0,29,0,0,0.0,0.0,19,1,0.0,3.43,729393,0
126,The Chantels,0.0,36,2,0,0.0,0.0,7,14,0.0,3.1,103956,0
127,Chuck Willis,0.0,43,6,0,0.0,0.0,5,9,0.0,4.0,41535,0
128,Guitar Slim,0.0,43,0,0,0.0,0.0,0,0,0.0,3.57,9568,0
129,Link Wray,0.0,37,2,14,0.0,0.0,4,16,0.0,3.25,271176,0
130,The Shangri-Las,0.0,29,0,14,0.0,0.0,11,1,0.0,3.5,222198,0
131,Bauhaus,0.0,16,0,22,0.0,0.0,0,0,0.0,3.6,372276,0
132,Love,0.0,29,0,16,0.0,1.0,3,33,0.0,3.67,482495,0
133,Motorhead,0.0,18,0,20,0.0,0.0,0,0,0.0,3.38,2346688,0
134,Scott Walker,0.0,29,0,18,0.0,0.0,3,13,0.0,3.38,320522,0
135,Bad Brains,0.0,13,1,18,0.0,0.0,0,0,0.0,3.33,194132,0
136,Siouxsie & the Banshees,0.0,17,0,17,0.0,0.0,2,23,0.0,3.73,803291,0
137,Silver Apples,0.0,27,0,16,0.0,0.0,0,0,0.0,3.34,40988,0
138,The Runaways,0.0,19,0,16,0.0,0.0,0,0,0.0,3.4,754756,0
139,The J.B.'s,0.0,24,1,16,0.0,0.0,3,22,0.0,3.53,577448,0
140,Screamin' Jay Hawkins,0.0,37,0,16,0.0,0.0,0,0,0.0,2.8,307235,0
141,The Meters,0.0,25,4,14,0.0,2.0,7,23,0.0,3.38,659501,0
142,The Sir Douglas Quintet,0.0,26,1,0,0.0,0.0,4,13,0.0,3.88,47988,0
143,Mary Wells,0.0,34,2,15,0.0,0.0,23,1,0.0,3.11,893340,0
144,Dick Dale,0.0,33,0,15,0.0,0.0,2,60,0.0,3.3,500805,0
145,Afrika Bambaataa,0.0,15,1,15,0.0,0.0,1,48,0.0,3.25,168417,0
146,Television,0.0,20,0,15,0.0,1.0,0,0,0.0,4.25,447912,0
147,Sparks,0.0,24,0,15,0.0,0.0,1,60,0.0,3.54,217511,0
148,The Specials,0.0,16,0,15,0.0,0.0,0,0,0.0,3.25,725201,0
149,Brian Eno,0.0,21,0,327,0.0,2.0,0,0,0.0,3.81,1466336,0
150,A Tribe Called Quest,0.0,4,0,26,0.0,1.0,0,0,0.0,4.25,2819776,0
151,Husker Du,0.0,14,0,45,0.0,1.0,0,0,0.0,4.58,215462,0
152,Pavement,0.0,5,0,49,0.0,2.0,0,0,0.0,4.5,974515,0
153,Backstreet Boys,0.0,0,0,15,37.0,0.0,16,2,3.0,3.6,13317210,0
154,Jay-Z,0.0,0,0,47,27.5,3.0,57,1,6.0,3.6,7333353,0
155,Korn,0.0,1,0,24,16.5,0.0,5,38,0.0,3.58,3950265,0
156,Bush,0.0,1,0,9,11.0,0.0,4,28,1.0,3.29,2350040,0
157,Foo Fighters,0.0,0,0,23,7.0,0.0,10,18,4.0,3.72,9593583,0
158,Weezer,0.0,1,0,47,6.5,1.0,5,10,1.0,4.0,7407342,0
159,Oasis,0.0,1,0,25,6.0,1.0,3,8,1.0,4.0,12472626,0
160,Marilyn Manson,0.0,1,0,23,4.5,0.0,0,0,5.0,3.77,3395813,0
161,Garbage,0.0,0,0,3,3.0,0.0,6,24,0.0,3.83,1522901,0
162,D'Angelo,0.0,0,0,28,2.0,1.0,6,10,0.0,4.63,1714968,0
163,Daft Punk,0.0,1,0,34,2.0,0.0,3,2,1.0,4.3,8612208,0
164,Wilco,0.0,0,0,12,0.5,1.0,0,0,0.0,4.08,1465728,0
165,The Chemical Brothers,0.0,0,0,18,0.5,0.0,1,80,0.0,3.64,2472912,0
166,Gov't Mule,0.0,0,0,2,0.0,0.0,0,0,0.0,3.86,271745,0
167,Sleater-Kinney,0.0,1,0,18,0.0,0.0,0,0,0.0,4.13,187862,0
168,Elliott Smith,0.0,1,0,35,0.0,0.0,0,0,0.0,4.25,1193382,0
