,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,In_Out
64,Neil Young,1995.0,0,1,374.0,17.5,5.0,11.0,1.0,5.0,3.41,1
65,Bonnie Raitt,2000.0,3,1,19.0,17.0,2.0,11.0,5.0,4.0,3.71,1
66,The Isley Brothers,1992.0,6,1,16.0,15.5,0.0,41.0,2.0,0.0,3.52,1
67,Dire Straits,2018.0,14,1,19.0,15.5,1.0,7.0,1.0,2.0,3.5,1
68,Cat Stevens,2014.0,22,2,21.0,15.5,1.0,14.0,6.0,1.0,3.36,1
69,Black Sabbath,2006.0,10,8,276.0,15.0,3.0,2.0,52.0,0.0,3.5,1
70,Hall & Oates,2014.0,16,1,17.0,14.0,0.0,35.0,1.0,2.0,3.42,1
71,Yes,2017.0,22,3,18.0,13.5,0.0,10.0,1.0,0.0,3.1,1
72,Paul Simon,2001.0,10,1,24.0,13.5,2.0,18.0,1.0,2.0,4.0,1
73,The Temptations,1989.0,2,1,13.0,12.5,1.0,50.0,1.0,0.0,3.64,1
74,Stevie Ray Vaughan & Double Trouble,2015.0,6,1,19.0,11.5,0.0,0.0,0.0,0.0,4.2,1
75,Steely Dan,2001.0,3,3,34.0,11.0,3.0,15.0,4.0,1.0,4.28,1
76,ABBA,2010.0,11,2,19.0,10.5,1.0,20.0,1.0,0.0,3.69,1
77,John Lennon,1994.0,0,1,20.0,10.5,2.0,15.0,1.0,14.0,3.23,1
78,George Harrison,2004.0,10,1,17.0,10.5,1.0,17.0,1.0,5.0,3.5,1
79,Peter Gabriel,2014.0,11,1,20.0,10.0,1.0,11.0,1.0,1.0,3.77,1
80,Aretha Franklin,1987.0,1,2,140.0,10.0,2.0,76.0,1.0,4.0,3.14,1
81,Van Morrison,1993.0,0,1,24.0,10.0,2.0,11.0,9.0,2.0,3.71,1
82,Electric Light Orchestra,2017.0,20,1,14.0,10.0,0.0,21.0,4.0,0.0,3.38,1
83,The Moody Blues,2018.0,28,1,15.0,10.0,0.0,21.0,2.0,0.0,3.22,1
84,David Bowie,1996.0,4,2,432.0,9.5,5.0,27.0,1.0,9.0,3.56,1
85,Cheap Trick,2016.0,13,1,131.0,9.0,2.0,16.0,1.0,1.0,3.425,1
86,Donna Summer,2013.0,13,5,20.0,9.0,0.0,33.0,1.0,1.0,3.13,1
87,The Allman Brothers Band,1995.0,0,1,23.0,8.5,1.0,11.0,2.0,2.0,3.77,1
88,Alice Cooper,2011.0,16,1,20.0,8.0,1.0,21.0,7.0,2.0,3.43,1
89,Sly and the Family Stone,1993.0,0,1,0.0,8.0,0.0,19.0,1.0,0.0,3.29,1
90,Deep Purple,2016.0,22,3,120.0,7.5,0.0,8.0,4.0,0.0,3.45,1
91,Ray Charles,1986.0,0,1,153.0,7.5,3.0,75.0,1.0,2.0,3.22,1
92,Joni Mitchell,1997.0,3,3,252.0,7.0,2.0,10.0,7.0,4.0,3.61,1
93,Talking Heads,2002.0,0,1,142.0,7.0,4.0,8.0,9.0,2.0,4.19,1
94,The O'Jays,2005.0,14,2,12.0,7.0,1.0,29.0,1.0,0.0,3.14,1
95,N.W.A,2016.0,3,4,203.0,6.5,1.0,1.0,38.0,0.0,4.5,1
96,Marvin Gaye,1987.0,1,2,224.0,6.5,3.0,56.0,1.0,3.0,3.62,1
97,Al Green,1995.0,2,1,20.0,6.0,3.0,20.0,1.0,0.0,3.41,1
98,Run DMC,2009.0,0,1,126.0,6.0,2.0,5.0,4.0,1.0,3.79,1
99,Parliament-Funkadelic,1997.0,1,2,139.0,6.0,0.0,13.0,15.0,0.0,4.07,1
100,The Jackson Five,1997.0,3,4,13.0,5.5,0.0,33.0,1.0,0.0,3.38,1
101,Miles Davis,2006.0,20,1,342.0,5.5,3.0,0.0,0.0,1.0,4.02,1
102,The Clash,2003.0,0,1,273.0,5.0,3.0,4.0,8.0,1.0,3.75,1
103,Blondie,2006.0,4,1,129.0,5.0,1.0,14.0,1.0,1.0,3.4,1
104,Public Enemy,2013.0,0,1,41.0,4.5,2.0,2.0,33.0,0.0,3.85,1
105,Jeff Beck,2009.0,16,1,17.0,4.5,0.0,1.0,48.0,3.0,3.59,1
106,Roy Orbison,1987.0,1,2,17.0,4.5,0.0,31.0,1.0,1.0,3.24,1
107,Cream,1993.0,1,2,139.0,4.5,3.0,5.0,5.0,0.0,3.875,1
108,Righteous Brothers,2003.0,14,1,10.0,4.0,0.0,23.0,1.0,0.0,3.25,1
109,The Pretenders,2005.0,0,1,21.0,4.0,1.0,10.0,5.0,3.0,3.75,1
110,B. B. King,1987.0,1,2,0.0,4.0,0.0,35.0,15.0,0.0,3.23,1
111,Gladys Knight and the Pips,1996.0,10,5,15.0,4.0,0.0,40.0,1.0,0.0,3.12,1
112,Jefferson Airplane,1996.0,4,2,18.0,3.5,2.0,8.0,5.0,5.0,3.6,1
113,Elvis Costello & the Attractions,2003.0,0,1,153.0,3.5,4.0,3.0,19.0,0.0,3.85,1
114,Joan Baez,2017.0,31,1,16.0,3.0,0.0,8.0,3.0,1.0,3.54,1
115,Isaac Hayes,2002.0,9,1,15.0,3.0,0.0,14.0,1.0,0.0,3.17,1
116,Otis Redding,1989.0,2,1,140.0,3.0,3.0,25.0,1.0,1.0,4.25,1
117,The Mamas and the Papas,1998.0,6,2,12.0,2.5,1.0,16.0,1.0,1.0,3.5,1
118,The Four Seasons,1990.0,2,3,13.0,2.5,0.0,42.0,1.0,0.0,3.18,1
119,The (Young) Rascals,1997.0,5,4,7.0,2.5,0.0,18.0,1.0,1.0,3.56,1
120,Joan Jett and the Blackhearts,2015.0,9,3,22.0,2.5,0.0,10.0,1.0,0.0,3.29,1
121,The Kinks,1990.0,0,1,384.0,2.0,3.0,23.0,6.0,0.0,3.29,1
122,James Brown,1986.0,0,1,299.0,2.0,3.0,53.0,4.0,3.0,2.92,1
123,The Band,1994.0,0,1,145.0,2.0,2.0,1.0,66.0,2.0,3.45,1
124,The Supremes,1988.0,2,3,11.0,1.5,1.0,45.0,1.0,2.0,3.34,1
125,Bill Withers,2015.0,18,1,24.0,1.5,0.0,11.0,1.0,0.0,3.61,1
126,Curtis Mayfield,1999.0,3,1,121.0,1.5,1.0,9.0,4.0,0.0,3.22,1
127,Leonard Cohen,2008.0,15,1,164.0,1.5,1.0,0.0,0.0,0.0,4.04,1
128,Donovan,2012.0,21,2,17.0,1.5,0.0,17.0,1.0,1.0,3.17,1
129,The Ventures,2008.0,22,1,15.0,1.5,0.0,14.0,2.0,0.0,3.02,1
130,Lou Reed,2015.0,17,3,26.0,1.0,2.0,1.0,16.0,3.0,3.43,1
131,Buddy Holly,1986.0,0,1,139.0,1.0,2.0,11.0,1.0,1.0,4.17,1
132,Smokey Robinson,1987.0,1,2,18.0,1.0,1.0,43.0,1.0,0.0,3.1,1
133,The Dave Clark Five,2008.0,20,3,8.0,1.0,0.0,24.0,1.0,0.0,2.88,1
134,The Platters,1990.0,4,3,10.0,1.0,0.0,40.0,1.0,0.0,3.0,1
135,Buffalo Springfield,1997.0,4,4,16.0,1.0,1.0,5.0,7.0,0.0,4.0,1
136,The Byrds,1991.0,0,1,360.0,1.0,4.0,16.0,1.0,0.0,3.88,1
137,Sex Pistols,2006.0,4,5,239.0,1.0,1.0,0.0,0.0,0.0,5.0,1
138,Ramones,2002.0,0,1,258.0,1.0,2.0,3.0,66.0,1.0,3.46,1
139,The Small Faces/The Faces,2012.0,20,1,47.0,0.5,0.0,4.0,16.0,0.0,4.25,1
140,Randy Newman,2013.0,22,2,13.0,0.5,3.0,3.0,2.0,0.0,4.14,1
141,Martha and the Vandellas,1995.0,6,3,2.0,0.5,0.0,23.0,2.0,0.0,3.25,1
142,"Bobby ""Blue"" Bland",1992.0,6,6,11.0,0.5,1.0,37.0,20.0,0.0,3.08,1
143,Ricky Nelson,1987.0,1,2,13.0,0.5,0.0,53.0,1.0,0.0,3.02,1
144,Lovin' Spoonful,2000.0,9,1,13.0,0.5,0.0,14.0,1.0,0.0,3.5,1
145,The Everly Brothers,1986.0,0,1,16.0,0.5,0.0,38.0,1.0,1.0,3.29,1
146,Buddy Guy,2005.0,12,1,18.0,0.5,0.0,0.0,0.0,1.0,3.38,1
147,Chuck Berry,1986.0,0,1,228.0,0.5,1.0,27.0,1.0,4.0,3.53,1
148,The Animals,1994.0,4,3,14.0,0.5,0.0,19.0,1.0,0.0,3.22,1
149,Ike and Tina Turner,1991.0,5,5,15.0,0.5,1.0,20.0,4.0,0.0,2.81,1
