,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score
88,Joy Division,,16,0,187,0.0,1.0,,,,3.8
89,The Buzzcocks,,17,0,48,0.0,1.0,,,,3.5
90,Suicide,,17,0,27,0.0,1.0,,,,3.4
91,Nick Cave,,10,0,25,0.0,,,,,4.0
92,Black Flag,,16,0,161,0.0,1.0,,,,3.29
93,XTC,,17,0,48,0.0,,1.0,72.0,,3.83
94,T. Rex,,26,0,149,0.0,1.0,4.0,10.0,,3.73
95,The Replacements,,13,1,137,0.0,2.0,1.0,51.0,,4.29
96,Gram Parsons,,27,3,131,0.0,1.0,,,,4.58
97,Stone Roses,,9,0,41,0.0,1.0,,,,4.0
98,Captain Beefheart,,28,0,127,0.0,1.0,,,1.0,3.96
99,The Jam,,17,0,44,0.0,,,,,4.25
100,Fugazi,,6,0,60,0.0,,,,,4.1
101,New York Dolls,,21,1,47,0.0,1.0,,,,4.38
102,The Jesus and Mary Chain,,10,0,52,0.0,1.0,,,,3.79
103,The Sir Douglas Quintet,,25,1,0,0.0,,4.0,13.0,,3.88
104,Mary Wells,,33,2,15,0.0,,23.0,1.0,,3.11
105,Bauhaus,,15,0,22,0.0,,,,,3.6
106,The Shangri-Las,,28,0,14,0.0,,11.0,1.0,,3.5
107,X,,16,0,11,0.0,2.0,,,,4.21
108,Junior Walker & the All-Stars,,28,0,9,0.0,,1.0,4.0,,3.19
109,Chubby Checker,,33,0,8,0.0,,35.0,1.0,,3.15
110,The Clovers,,43,0,8,0.0,,2.0,23.0,,3.75
111,Jan & Dean,,34,0,7,0.0,,24.0,1.0,,2.72
112,Big Mama Thornton,,42,0,7,0.0,,,,,3.5
113,Johnny Ace,,38,2,6,0.0,,1.0,17.0,,4.38
114,Joe Tex,,28,5,6,0.0,,27.0,2.0,,3.36
115,The Marvelettes,,33,2,5,0.0,,23.0,1.0,,3.0
116,Esther Phillips,,43,2,3,0.0,,7.0,8.0,,3.15
117,Billy Ward and his Dominoes,,43,1,0,0.0,,4.0,12.0,,3.81
118,Johnny Burnette,,38,0,0,0.0,,5.0,8.0,,3.36
119,Tommy James & the Shondells,,28,0,0,0.0,,19.0,1.0,,3.43
120,The Chantels,,35,2,0,0.0,,7.0,14.0,,3.1
121,Chuck Willis,,42,6,0,0.0,,5.0,9.0,,4.0
122,Ben E. King,,32,3,13,0.0,,22.0,4.0,,3.06
123,Link Wray,,36,2,14,0.0,,4.0,16.0,,3.25
124,Motorhead,,17,0,20,0.0,,,,,3.38
125,The Meters,,24,4,14,0.0,2.0,7.0,23.0,,3.38
126,Bad Brains,,12,1,18,0.0,,,,,3.33
127,Scott Walker,,28,0,18,0.0,,3.0,13.0,,3.38
128,Siouxsie & the Banshees,,16,0,17,0.0,,2.0,23.0,,3.73
129,Love,,28,0,16,0.0,1.0,3.0,33.0,,3.67
130,Silver Apples,,26,0,16,0.0,,,,,3.34
131,The J.B.'s,,23,1,16,0.0,,3.0,22.0,,3.53
132,The Runaways,,18,0,16,0.0,,,,,3.4
133,Screamin' Jay Hawkins,,36,0,16,0.0,,,,,2.8
134,The Specials,,15,0,15,0.0,,,,,3.25
135,Guitar Slim,,42,0,0,0.0,,,,,3.57
136,Afrika Bambaataa,,14,1,15,0.0,,1.0,48.0,,3.25
137,Television,,19,0,15,0.0,1.0,,,,4.25
138,Dick Dale,,32,0,15,0.0,,2.0,60.0,,3.3
139,Sparks,,23,0,15,0.0,,1.0,60.0,,3.54
140,Toots & the Maytals,,32,0,14,0.0,1.0,,,,3.64
141,Brian Eno,,20,0,327,0.0,2.0,,,,3.81
142,A Tribe Called Quest,,3,0,26,,1.0,,,,4.25
143,Husker Du,,13,0,45,,1.0,,,,4.58
144,Pavement,,4,0,49,,2.0,,,,4.5
