,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,Spotify,In_Out
64,Neil Young,1995.0,0,1,374.0,17.5,5.0,11,1,5.0,3.41,3510156,1
65,Bonnie Raitt,2000.0,3,1,19.0,17.0,2.0,11,5,4.0,3.71,1022762,1
66,The Isley Brothers,1992.0,6,1,16.0,15.5,0.0,41,2,0.0,3.52,2695354,1
67,Dire Straits,2018.0,14,1,19.0,15.5,1.0,7,1,2.0,3.5,7051901,1
68,Cat Stevens,2014.0,22,2,21.0,15.5,1.0,14,6,1.0,3.36,4156731,1
69,Black Sabbath,2006.0,10,8,276.0,15.0,3.0,2,52,0.0,3.5,4830949,1
70,Hall & Oates,2014.0,16,1,17.0,14.0,0.0,35,1,2.0,3.42,8204393,1
71,Paul Simon,2001.0,10,1,24.0,13.5,2.0,18,1,2.0,4.0,4796841,1
72,Yes,2017.0,22,3,18.0,13.5,0.0,10,1,0.0,3.1,1680329,1
73,The Temptations,1989.0,2,1,13.0,12.5,1.0,50,1,0.0,3.64,4784787,1
74,Stevie Ray Vaughan & Double Trouble,2015.0,6,1,19.0,11.5,0.0,0,0,0.0,4.2,1367522,1
75,Steely Dan,2001.0,3,3,34.0,11.0,3.0,15,4,1.0,4.28,2622163,1
76,George Harrison,2004.0,10,1,17.0,10.5,1.0,17,1,5.0,3.5,4439627,1
77,ABBA,2010.0,11,2,19.0,10.5,1.0,20,1,0.0,3.69,7656489,1
78,John Lennon,1994.0,0,1,20.0,10.5,2.0,15,1,14.0,3.23,4563382,1
79,Peter Gabriel,2014.0,11,1,20.0,10.0,1.0,11,1,1.0,3.77,2030462,1
80,Aretha Franklin,1987.0,1,2,140.0,10.0,2.0,76,1,4.0,3.14,6876800,1
81,Van Morrison,1993.0,0,1,24.0,10.0,2.0,11,9,2.0,3.71,6401383,1
82,The Moody Blues,2018.0,28,1,15.0,10.0,0.0,21,2,0.0,3.22,1324878,1
83,Electric Light Orchestra,2017.0,20,1,14.0,10.0,0.0,21,4,0.0,3.38,5749489,1
84,David Bowie,1996.0,4,2,432.0,9.5,5.0,27,1,9.0,3.56,9388723,1
85,Cheap Trick,2016.0,13,1,131.0,9.0,2.0,16,1,1.0,3.425,2500303,1
86,Donna Summer,2013.0,13,5,20.0,9.0,0.0,33,1,1.0,3.13,2072580,1
87,The Allman Brothers Band,1995.0,0,1,23.0,8.5,1.0,11,2,2.0,3.77,2365797,1
88,Sly and the Family Stone,1993.0,0,1,0.0,8.0,0.0,19,1,0.0,3.29,1854502,1
89,Alice Cooper,2011.0,16,1,20.0,8.0,1.0,21,7,2.0,3.43,2364538,1
90,Ray Charles,1986.0,0,1,153.0,7.5,3.0,75,1,2.0,3.22,2966157,1
91,Deep Purple,2016.0,22,3,120.0,7.5,0.0,8,4,0.0,3.45,3644184,1
92,The O'Jays,2005.0,14,2,12.0,7.0,1.0,29,1,0.0,3.14,1632650,1
93,Talking Heads,2002.0,0,1,142.0,7.0,4.0,8,9,2.0,4.19,3583976,1
94,Joni Mitchell,1997.0,3,3,252.0,7.0,2.0,10,7,4.0,3.61,1750423,1
95,Marvin Gaye,1987.0,1,2,224.0,6.5,3.0,56,1,3.0,3.62,8846146,1
96,N.W.A,2016.0,3,4,203.0,6.5,1.0,1,38,0.0,4.5,3222432,1
97,Al Green,1995.0,2,1,20.0,6.0,3.0,20,1,0.0,3.41,3109495,1
98,Run DMC,2009.0,0,1,126.0,6.0,2.0,5,4,1.0,3.79,2467123,1
99,Parliament-Funkadelic,1997.0,1,2,139.0,6.0,0.0,13,15,0.0,4.07,1611392,1
100,Miles Davis,2006.0,20,1,342.0,5.5,3.0,0,0,1.0,4.02,1692038,1
101,The Jackson Five,1997.0,3,4,13.0,5.5,0.0,33,1,0.0,3.38,7730167,1
102,The Clash,2003.0,0,1,273.0,5.0,3.0,4,8,1.0,3.75,6489927,1
103,Blondie,2006.0,4,1,129.0,5.0,1.0,14,1,1.0,3.4,3833851,1
104,Public Enemy,2013.0,0,1,41.0,4.5,2.0,2,33,0.0,3.85,1160416,1
105,Roy Orbison,1987.0,1,2,17.0,4.5,0.0,31,1,1.0,3.24,3195045,1
106,Jeff Beck,2009.0,16,1,17.0,4.5,0.0,1,48,3.0,3.59,562141,1
107,Cream,1993.0,1,2,139.0,4.5,3.0,5,5,0.0,3.875,2598263,1
108,The Pretenders,2005.0,0,1,21.0,4.0,1.0,10,5,3.0,3.75,2307432,1
109,Righteous Brothers,2003.0,14,1,10.0,4.0,0.0,23,1,0.0,3.25,1757256,1
110,B. B. King,1987.0,1,2,0.0,4.0,0.0,35,15,0.0,3.23,1606032,1
111,Gladys Knight and the Pips,1996.0,10,5,15.0,4.0,0.0,40,1,0.0,3.12,1758612,1
112,Elvis Costello & the Attractions,2003.0,0,1,153.0,3.5,4.0,3,19,0.0,3.85,1703855,1
113,Jefferson Airplane,1996.0,4,2,18.0,3.5,2.0,8,5,5.0,3.6,1849810,1
114,Otis Redding,1989.0,2,1,140.0,3.0,3.0,25,1,1.0,4.25,3875755,1
115,Isaac Hayes,2002.0,9,1,15.0,3.0,0.0,14,1,0.0,3.17,814691,1
116,Joan Baez,2017.0,31,1,16.0,3.0,0.0,8,3,1.0,3.54,446337,1
117,The (Young) Rascals,1997.0,5,4,7.0,2.5,0.0,18,1,1.0,3.56,512522,1
118,The Four Seasons,1990.0,2,3,13.0,2.5,0.0,42,1,0.0,3.18,2398543,1
119,Joan Jett and the Blackhearts,2015.0,9,3,22.0,2.5,0.0,10,1,0.0,3.29,1355473,1
120,The Mamas and the Papas,1998.0,6,2,12.0,2.5,1.0,16,1,1.0,3.5,2792678,1
121,The Kinks,1990.0,0,1,384.0,2.0,3.0,23,6,0.0,3.29,3866048,1
122,James Brown,1986.0,0,1,299.0,2.0,3.0,53,4,3.0,2.92,4224923,1
123,The Band,1994.0,0,1,145.0,2.0,2.0,1,66,2.0,3.45,1945881,1
124,Bill Withers,2015.0,18,1,24.0,1.5,0.0,11,1,0.0,3.61,4623121,1
125,Curtis Mayfield,1999.0,3,1,121.0,1.5,1.0,9,4,0.0,3.22,1565263,1
126,The Supremes,1988.0,2,3,11.0,1.5,1.0,45,1,2.0,3.34,3325730,1
127,Leonard Cohen,2008.0,15,1,164.0,1.5,1.0,0,0,0.0,4.04,2009538,1
128,The Ventures,2008.0,22,1,15.0,1.5,0.0,14,2,0.0,3.02,191860,1
129,Donovan,2012.0,21,2,17.0,1.5,0.0,17,1,1.0,3.17,1240883,1
130,Lou Reed,2015.0,17,3,26.0,1.0,2.0,1,16,3.0,3.43,2480329,1
131,Buddy Holly,1986.0,0,1,139.0,1.0,2.0,11,1,1.0,4.17,1195613,1
132,Smokey Robinson,1987.0,1,2,18.0,1.0,1.0,43,1,0.0,3.1,2307612,1
133,Buffalo Springfield,1997.0,4,4,16.0,1.0,1.0,5,7,0.0,4.0,1945990,1
