,Artist,Year Inducted,Years Waited,# of Years Nominated,Influenced,Certified Units (Millions),Albums in RS500,Top 100 Singles,Highest Position,Times on Cover of RS,Score,Spotify,In_Out
284,Warren Zevon,0.0,25,0,10.0,1.5,0.0,2,21,1.0,3.61,709881,0
285,The Smiths,0.0,11,2,193.0,1.5,4.0,0,0,0.0,4.25,3464996,0
286,The Guess Who,0.0,29,0,7.0,1.15,0.0,21,1,0.0,2.59,1430617,0
287,Pixies,0.0,7,0,179.0,1.0,2.0,0,0,0.0,4.14,3242438,0
288,Harry Nilsson,0.0,27,0,21.0,1.0,0.0,10,1,0.0,3.66,1302110,0
289,Connie Francis,0.0,36,0,4.0,0.5,0.0,56,1,0.0,3.35,500588,0
290,Procol Harum,0.0,27,1,10.0,0.5,0.0,3,5,0.0,3.5,695406,0
291,Thin Lizzy,0.0,23,0,11.0,0.5,0.0,2,12,0.0,3.69,2305483,0
292,The Dead Kennedys,0.0,15,0,14.0,0.5,0.0,0,0,0.0,3.8,552388,0
293,Kate Bush,0.0,16,1,23.0,0.5,0.0,4,30,0.0,3.65,1234395,0
294,King Crimson,0.0,25,0,59.0,0.5,0.0,1,80,0.0,3.79,248705,0
295,The Flaming Lips,0.0,10,0,51.0,0.5,0.0,1,55,0.0,3.79,1177383,0
296,Can,0.0,26,0,192.0,0.0,0.0,0,0,0.0,3.5,327196,0
297,Nick Drake,0.0,25,0,190.0,0.0,1.0,0,0,0.0,4.5,1053173,0
298,My Bloody Valentine,0.0,9,0,253.0,0.0,1.0,0,0,0.0,3.88,310457,0
299,Massive Attack,0.0,6,0,25.0,0.0,1.0,0,0,0.0,4.0,2183585,0
300,Sonic Youth,0.0,12,0,282.0,0.0,1.0,0,0,0.0,3.68,996433,0
301,Big Star,0.0,22,0,189.0,0.0,3.0,0,0,0.0,4.2,344600,0
302,Joy Division,0.0,16,0,187.0,0.0,1.0,0,0,0.0,3.8,2212439,0
303,The Buzzcocks,0.0,17,0,48.0,0.0,1.0,0,0,0.0,3.5,590107,0
304,Suicide,0.0,17,0,27.0,0.0,1.0,0,0,0.0,3.4,200030,0
305,Nick Cave,0.0,10,0,25.0,0.0,0.0,0,0,0.0,4.0,1826527,0
306,Black Flag,0.0,16,0,161.0,0.0,1.0,0,0,0.0,3.29,270412,0
307,XTC,0.0,17,0,48.0,0.0,0.0,1,72,0.0,3.83,568177,0
308,T. Rex,0.0,26,0,149.0,0.0,1.0,4,10,0.0,3.73,1634146,0
309,The Replacements,0.0,13,1,137.0,0.0,2.0,1,51,0.0,4.29,466368,0
310,Gram Parsons,0.0,27,3,131.0,0.0,1.0,0,0,0.0,4.58,299165,0
311,Stone Roses,0.0,9,0,41.0,0.0,1.0,0,0,0.0,4.0,1340170,0
312,Captain Beefheart,0.0,28,0,127.0,0.0,1.0,0,0,1.0,3.96,272334,0
313,The Jam,0.0,17,0,44.0,0.0,0.0,0,0,0.0,4.25,1205568,0
314,Fugazi,0.0,6,0,60.0,0.0,0.0,0,0,0.0,4.1,475638,0
315,New York Dolls,0.0,21,1,47.0,0.0,1.0,0,0,0.0,4.38,170630,0
316,The Jesus and Mary Chain,0.0,10,0,52.0,0.0,1.0,0,0,0.0,3.79,818076,0
317,The Sir Douglas Quintet,0.0,25,1,0.0,0.0,0.0,4,13,0.0,3.88,47988,0
318,Mary Wells,0.0,33,2,15.0,0.0,0.0,23,1,0.0,3.11,893340,0
319,Bauhaus,0.0,15,0,22.0,0.0,0.0,0,0,0.0,3.6,372276,0
320,The Shangri-Las,0.0,28,0,14.0,0.0,0.0,11,1,0.0,3.5,222198,0
321,X,0.0,16,0,11.0,0.0,2.0,0,0,0.0,4.21,198828,0
322,Junior Walker & the All-Stars,0.0,28,0,9.0,0.0,0.0,1,4,0.0,3.19,1043482,0
323,Chubby Checker,0.0,33,0,8.0,0.0,0.0,35,1,0.0,3.15,643605,0
324,The Clovers,0.0,43,0,8.0,0.0,0.0,2,23,0.0,3.75,237105,0
325,Jan & Dean,0.0,34,0,7.0,0.0,0.0,24,1,0.0,2.72,131436,0
326,Big Mama Thornton,0.0,42,0,7.0,0.0,0.0,0,0,0.0,3.5,101223,0
327,Johnny Ace,0.0,38,2,6.0,0.0,0.0,1,17,0.0,4.38,27122,0
328,Joe Tex,0.0,28,5,6.0,0.0,0.0,27,2,0.0,3.36,103399,0
329,The Marvelettes,0.0,33,2,5.0,0.0,0.0,23,1,0.0,3.0,1161133,0
330,Esther Phillips,0.0,43,2,3.0,0.0,0.0,7,8,0.0,3.15,141716,0
331,Billy Ward and his Dominoes,0.0,43,1,0.0,0.0,0.0,4,12,0.0,3.81,39796,0
332,Johnny Burnette,0.0,38,0,0.0,0.0,0.0,5,8,0.0,3.36,237047,0
333,Tommy James & the Shondells,0.0,28,0,0.0,0.0,0.0,19,1,0.0,3.43,729393,0
334,The Chantels,0.0,35,2,0.0,0.0,0.0,7,14,0.0,3.1,103956,0
335,Chuck Willis,0.0,42,6,0.0,0.0,0.0,5,9,0.0,4.0,41535,0
336,Ben E. King,0.0,32,3,13.0,0.0,0.0,22,4,0.0,3.06,4024890,0
337,Link Wray,0.0,36,2,14.0,0.0,0.0,4,16,0.0,3.25,271176,0
338,Motorhead,0.0,17,0,20.0,0.0,0.0,0,0,0.0,3.38,2346688,0
339,The Meters,0.0,24,4,14.0,0.0,2.0,7,23,0.0,3.38,659501,0
340,Bad Brains,0.0,12,1,18.0,0.0,0.0,0,0,0.0,3.33,194132,0
341,Scott Walker,0.0,28,0,18.0,0.0,0.0,3,13,0.0,3.38,320522,0
342,Siouxsie & the Banshees,0.0,16,0,17.0,0.0,0.0,2,23,0.0,3.73,803291,0
343,Love,0.0,28,0,16.0,0.0,1.0,3,33,0.0,3.67,482495,0
344,Silver Apples,0.0,26,0,16.0,0.0,0.0,0,0,0.0,3.34,40988,0
345,The J.B.'s,0.0,23,1,16.0,0.0,0.0,3,22,0.0,3.53,577448,0
346,The Runaways,0.0,18,0,16.0,0.0,0.0,0,0,0.0,3.4,754756,0
347,Screamin' Jay Hawkins,0.0,36,0,16.0,0.0,0.0,0,0,0.0,2.8,307235,0
348,The Specials,0.0,15,0,15.0,0.0,0.0,0,0,0.0,3.25,725201,0
349,Guitar Slim,0.0,42,0,0.0,0.0,0.0,0,0,0.0,3.57,9568,0
350,Afrika Bambaataa,0.0,14,1,15.0,0.0,0.0,1,48,0.0,3.25,168417,0
351,Television,0.0,19,0,15.0,0.0,1.0,0,0,0.0,4.25,447912,0
352,Dick Dale,0.0,32,0,15.0,0.0,0.0,2,60,0.0,3.3,500805,0
353,Sparks,0.0,23,0,15.0,0.0,0.0,1,60,0.0,3.54,217511,0
354,Toots & the Maytals,0.0,32,0,14.0,0.0,1.0,0,0,0.0,3.64,1122290,0
355,Brian Eno,0.0,20,0,327.0,0.0,2.0,0,0,0.0,3.81,1466336,0
356,A Tribe Called Quest,0.0,3,0,26.0,0.0,1.0,0,0,0.0,4.25,2819776,0
357,Husker Du,0.0,13,0,45.0,0.0,1.0,0,0,0.0,4.58,215462,0
358,Pavement,0.0,4,0,49.0,0.0,2.0,0,0,0.0,4.5,974515,0
